current_date,opening_balance,closing_balance,monthly_realized_pnl,monthly_unrealized_pnl,ticker,status,shares_qty,bought_price,bought_date,current_price,current_value,unrealized_pnl,unrealized_pnl_pct,realized_pnl,realized_pnl_pct,cash_balance,total_portfolio_value,bought_value,tag
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,PIDILITIND.NS,Held,127,586.6500244,2/29/2016,586.6500244,74504.5531,0,0,,,1281.432831,853420.9078,74504.5531,Nifty 50
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,RELIANCE.NS,Held,338,220.9599304,2/29/2016,220.9599304,74684.45648,0,0,,,1281.432831,853420.9078,74684.45648,Nifty 50
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,APOLLOHOSP.NS,Held,51,1463.849976,2/29/2016,1463.849976,74656.34875,0,0,,,1281.432831,853420.9078,74656.34875,Nifty Next 50
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,BIOCON.NS,Held,956,78.25,2/29/2016,78.25,74807,0,0,,,1281.432831,853420.9078,74807,Nifty Midcap 150
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,ASIANPAINT.NS,Held,88,846.0999756,2/29/2016,846.0999756,74456.79785,0,0,,,1281.432831,853420.9078,74456.79785,Other 500 Stocks
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,INFY.NS,Held,138,542.0250244,2/29/2016,542.0250244,74799.45337,0,0,,,1281.432831,853420.9078,74799.45337,Other 500 Stocks
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,TVSMOTOR.NS,Held,279,268.1499939,2/29/2016,268.1499939,74813.8483,0,0,,,1281.432831,853420.9078,74813.8483,Nifty 50
2/29/2016,1104756.2,988275.3462,-129068.0491,12587.19547,MARICO.NS,Held,316,236.75,2/29/2016,236.75,74813,0,0,,,1281.432831,853420.9078,74813,Nifty Next 50
3/31/2016,,,,,BIOCON.NS,Sold,956,78.25,2/29/2016,80.55833435,77013.76764,0,,2206.767639,2.949948052,,,,Nifty Midcap 150
3/31/2016,,,,,APOLLOHOSP.NS,Sold,51,1463.849976,2/29/2016,1329.300049,67794.30249,0,,-6862.046265,-9.191510674,,,,Nifty Next 50
